2019,1,0,0,43
2019,1,1,14,15
2019,1,15,44,215
2019,1,45,64,1199
2019,1,65,74,1766
2019,1,75,84,3078
2019,1,85,150,4639
2019,2,0,0,50
2019,2,1,14,20
2019,2,15,44,280
2019,2,45,64,1419
2019,2,65,74,2179
2019,2,75,84,3590
2019,2,85,150,5071
2019,3,0,0,59
2019,3,1,14,29
2019,3,15,44,319
2019,3,45,64,1373
2019,3,65,74,2004
2019,3,75,84,3414
2019,3,85,150,4662
2019,4,0,0,42
2019,4,1,14,22
2019,4,15,44,339
2019,4,45,64,1438
2019,4,65,74,1936
2019,4,75,84,3266
2019,4,85,150,4697
2019,5,0,0,57
2019,5,1,14,15
2019,5,15,44,307
2019,5,45,64,1367
2019,5,65,74,1852
2019,5,75,84,3126
2019,5,85,150,4573
2019,6,0,0,54
2019,6,1,14,25
2019,6,15,44,267
2019,6,45,64,1387
2019,6,65,74,1955
2019,6,75,84,3251
2019,6,85,150,4721
2019,7,0,0,49
2019,7,1,14,17
2019,7,15,44,305
2019,7,45,64,1372
2019,7,65,74,1911
2019,7,75,84,3392
2019,7,85,150,4778
2019,8,0,0,59
2019,8,1,14,30
2019,8,15,44,276
2019,8,45,64,1395
2019,8,65,74,1824
2019,8,75,84,3169
2019,8,85,150,4542
2019,9,0,0,52
2019,9,1,14,20
2019,9,15,44,288
2019,9,45,64,1264
2019,9,65,74,1826
2019,9,75,84,3117
2019,9,85,150,4477
2019,10,0,0,45
2019,10,1,14,16
2019,10,15,44,303
2019,10,45,64,1342
2019,10,65,74,1857
2019,10,75,84,3042
2019,10,85,150,4293
2019,11,0,0,57
2019,11,1,14,24
2019,11,15,44,299
2019,11,45,64,1311
2019,11,65,74,1718
2019,11,75,84,2933
2019,11,85,150,4225
2019,12,0,0,49
2019,12,1,14,24
2019,12,15,44,293
2019,12,45,64,1249
2019,12,65,74,1713
2019,12,75,84,2948
2019,12,85,150,4126
2019,13,0,0,45
2019,13,1,14,17
2019,13,15,44,289
2019,13,45,64,1222
2019,13,65,74,1643
2019,13,75,84,2794
2019,13,85,150,3857
2019,14,0,0,41
2019,14,1,14,13
2019,14,15,44,296
2019,14,45,64,1232
2019,14,65,74,1614
2019,14,75,84,2937
2019,14,85,150,3993
2019,15,0,0,47
2019,15,1,14,23
2019,15,15,44,288
2019,15,45,64,1265
2019,15,65,74,1712
2019,15,75,84,2907
2019,15,85,150,4049
2019,16,0,0,48
2019,16,1,14,21
2019,16,15,44,251
2019,16,45,64,1100
2019,16,65,74,1446
2019,16,75,84,2547
2019,16,85,150,3612
2019,17,0,0,34
2019,17,1,14,18
2019,17,15,44,273
2019,17,45,64,1207
2019,17,65,74,1730
2019,17,75,84,2811
2019,17,85,150,3986
2019,18,0,0,46
2019,18,1,14,18
2019,18,15,44,297
2019,18,45,64,1334
2019,18,65,74,1869
2019,18,75,84,3207
2019,18,85,150,4436
2019,19,0,0,56
2019,19,1,14,17
2019,19,15,44,262
2019,19,45,64,1094
2019,19,65,74,1513
2019,19,75,84,2579
2019,19,85,150,3534
2019,20,0,0,44
2019,20,1,14,14
2019,20,15,44,304
2019,20,45,64,1274
2019,20,65,74,1650
2019,20,75,84,2864
2019,20,85,150,4122
2019,21,0,0,51
2019,21,1,14,21
2019,21,15,44,309
2019,21,45,64,1262
2019,21,65,74,1765
2019,21,75,84,2946
2019,21,85,150,3930
2019,22,0,0,45
